cluster_id,t_s,t_e,chunk_idx,mac,n_keys,purity_cluster,entropy_cluster,is_quarantined,decision,d_best,n_rows_in_chunk_for_mac,seg_CFO_Hz,seg_CFO_00_Hz,seg_CFO_11_Hz,seg_CFO_10_Hz,seg_CFO_01_Hz
1,0.0,900.0,0,AB:EA:9E:29:F0:B5,1,1.0,0.0,0,SPAWN,,1,2716.0,142992.0,-79097.0,133520.0,-61569.0
2,0.0,900.0,0,F6:3A:68:D7:41:41,1,1.0,0.0,0,SPAWN,724094307.1427163,1,-24193.0,124025.0,-117326.0,101666.0,-109403.0
2,0.0,900.0,0,CA:94:35:75:8A:1E,1,0.5,0.999999999995672,0,MATCH,4.487236324626878,1,-12189.0,147696.0,-142211.0,115597.0,-108658.0
3,0.0,900.0,0,FE:A9:9D:6D:D4:0C,1,1.0,0.0,0,SPAWN,74545995.99779686,1,11350.0,149047.0,-153488.0,113411.0,-104749.0
3,0.0,900.0,0,C1:22:79:52:7A:53,1,0.5,0.999999999995672,0,MATCH,19.47917460901235,2,-8287.5,95493.0,-98772.5,107796.0,-118943.0
4,0.0,900.0,0,F3:8D:EE:21:BB:07,1,1.0,0.0,0,SPAWN,657307078.4105859,1,-22922.0,96351.0,-123584.0,107224.0,-105141.0
4,0.0,900.0,0,F4:9E:97:6B:A6:63,1,0.5,0.999999999995672,0,MATCH,5.317720885313483,1,-5937.0,141416.0,-121358.0,117868.0,-105271.0
5,0.0,900.0,0,C4:E8:84:B9:37:78,1,1.0,0.0,0,SPAWN,514881502.66203064,1,-19975.0,126958.0,-128103.0,133213.0,-101406.0
5,0.0,900.0,0,E9:4D:EA:3F:44:D9,1,0.5,0.999999999995672,0,MATCH,2.4920426171448,4,-6237.75,111285.5,-129956.25,122574.5,-109029.75
6,0.0,900.0,0,FD:70:DC:0E:EC:C4,1,1.0,0.0,0,SPAWN,3136485.2193716066,1,945.0,79075.0,-143642.0,119131.0,-76009.0
6,0.0,900.0,0,D3:F5:AF:15:52:F2,1,0.5,0.999999999995672,0,MATCH,17.65423803402642,76,22284.736842105263,141866.3552631579,-110324.86842105263,130055.6447368421,-114973.68421052632
7,0.0,900.0,0,F0:A7:43:3C:52:9B,1,1.0,0.0,0,SPAWN,1253230823.592124,1,-32685.0,127095.0,-114694.0,96920.0,-101175.0
7,0.0,900.0,0,C4:E8:94:F9:37:78,1,0.5,0.999999999995672,0,MATCH,5.942143149718942,11,-8503.545454545454,115522.72727272728,-117905.36363636363,122462.36363636363,-101706.72727272728
8,0.0,900.0,0,8C:E8:94:F9:37:78,1,1.0,0.0,0,SPAWN,583077625.5969079,1,-21431.0,143661.0,-121477.0,137138.0,-99561.0
8,0.0,900.0,0,D1:68:B8:08:56:76,1,0.5,0.999999999995672,0,MATCH,6.271084924259458,7,-14593.57142857143,113617.71428571429,-111456.28571428571,110060.28571428571,-106358.57142857143
9,0.0,900.0,0,D6:80:1B:D7:AC:AF,1,1.0,0.0,0,SPAWN,830131370.5273244,1,-26096.0,146158.0,-130819.0,110348.0,-106035.0
9,0.0,900.0,0,C3:9B:74:EC:1E:D1,1,0.5,0.999999999995672,0,MATCH,6.0976425253744875,1,-3495.0,117536.0,-128837.0,100790.0,-88911.0
10,0.0,900.0,0,F1:B5:BC:2D:85:3B,1,1.0,0.0,0,SPAWN,572070745.0316337,1,-21202.0,147136.0,-122942.0,115708.0,-104759.0
10,0.0,900.0,0,E3:8D:EE:21:BB:07,1,0.5,0.999999999995672,0,MATCH,4.236550607301174,2,-16711.0,110856.0,-118657.0,101727.5,-100444.0
11,0.0,900.0,0,D2:FA:87:EE:9B:58,1,1.0,0.0,0,SPAWN,587159582.1253226,8,-21515.375,102745.875,-115047.125,87958.125,-127659.5
11,0.0,900.0,0,CD:B0:B9:A2:5B:BC,1,0.5,0.999999999995672,0,MATCH,11.085627074697925,2,-21431.0,126764.0,-143496.0,102774.0,-94498.0
12,0.0,900.0,0,D0:A6:5B:E3:2E:EA,1,1.0,0.0,0,SPAWN,210337040.2241619,1,-11787.0,162206.0,-134898.0,113893.0,-109022.0
12,0.0,900.0,0,D3:F5:AF:1D:52:F2,1,0.5,0.999999999995672,0,MATCH,13.90103107881414,1,23751.0,121660.0,-130214.0,129376.0,-127035.0
